"type","file","bytes","description"
"entry","README.md","4792","README"
"raw email","raw/email/OLAF_Mandelson_Carbyne_acknowledgement_request_thread_2026-05-11.eml","53663","OLAF email thread preserving May 4 request and May 11 acknowledgement"
"report","reports/olaf-date-basis-and-thread-extract.md","1054","date-basis extract"
"signature","other/OLAF_Mandelson_Carbyne_acknowledgement_request_thread_2026-05-11.eml.asc","537","detached signature for raw EML"
"checksum","other/OLAF_Mandelson_Carbyne_acknowledgement_request_thread_2026-05-11.eml.sha256","136","SHA-256 sidecar for raw EML"
"signature","other/olaf-date-basis-and-thread-extract.md.asc","537","detached signature for date-basis extract"
"checksum","other/olaf-date-basis-and-thread-extract.md.sha256","105","SHA-256 sidecar for date-basis extract"
"public key","other/Joseph_Gs_Public_Key.asc","7205","public key for verification"
