date,topic_slug,topic,entry_path,main_artifacts
2026-05-26,zorro-ranch,Zorro Ranch,workbook/outputs/2026/05/26/zorro-ranch/README.md,"reports, HTML exports, verification files"
2026-05-25,remoterat-rattrap,RemoteRAT / RATtrap,workbook/outputs/2026/05/25/remoterat-rattrap/README.md,"reports, IOC tables, raw source files, HTML exports, YARA"
2026-05-25,thiel-reveal,Thiel Reveal,workbook/outputs/2026/05/25/thiel-reveal/README.md,"reports, tables"
2026-05-25,zorro-ranch,Zorro Ranch,workbook/outputs/2026/05/25/zorro-ranch/README.md,reports
2026-05-24,uhaul-evidence-transfer,U-Haul Evidence Transfer,workbook/outputs/2026/05/24/uhaul-evidence-transfer/README.md,"reports, tables"
2026-05-13,sec-ito-referral,SEC Ito Referral,workbook/outputs/2026/05/13/sec-ito-referral/README.md,"reports, raw source files, verification files"
2026-05-06,sec-ito-referral,SEC Ito Referral,workbook/outputs/2026/05/06/sec-ito-referral/README.md,"reports, verification files"
