topic_slug,topic,entries,latest_work,topic_page
remoterat-rattrap,RemoteRAT / RATtrap,1,2026-05-25,workbook/topics/remoterat-rattrap.md
sec-ito-referral,SEC Ito Referral,2,2026-05-13,workbook/topics/sec-ito-referral.md
thiel-reveal,Thiel Reveal,1,2026-05-25,workbook/topics/thiel-reveal.md
uhaul-evidence-transfer,U-Haul Evidence Transfer,1,2026-05-24,workbook/topics/uhaul-evidence-transfer.md
valar-southern-trust,Valar / Southern Trust,1,2026-05-26,workbook/topics/valar-southern-trust.md
zorro-ranch,Zorro Ranch,2,2026-05-26,workbook/topics/zorro-ranch.md
