Output ID,Date,Topic ID,Topic Slug,Output Title,Output Type,File Name,File Path,Source Folder,Public Range Safe,Held Back,Notes
OUT-20260525-001,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,Decoder run summary,report,DECODER_RUN_SUMMARY.md,workbook/outputs/2026/05/25/thiel-local-scrape/reports/DECODER_RUN_SUMMARY.md,selected work output,Yes,No,Selected artifact
OUT-20260525-002,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,ICE and Palantir drill note,report,THIEL_ICE_PALANTIR_DRILL_20260525.md,workbook/outputs/2026/05/25/thiel-local-scrape/reports/THIEL_ICE_PALANTIR_DRILL_20260525.md,selected work output,Yes,No,Selected artifact
OUT-20260525-003,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,Next drill lead sheet,report,THIEL_NEXT_DRILL_LEAD_SHEET_20260525.md,workbook/outputs/2026/05/25/thiel-local-scrape/reports/THIEL_NEXT_DRILL_LEAD_SHEET_20260525.md,selected work output,Yes,No,Selected artifact
OUT-20260525-004,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,Dossier data build map,report,DOSSIER_DATA_BUILD_MAP_20260525.md,workbook/outputs/2026/05/25/thiel-local-scrape/reports/DOSSIER_DATA_BUILD_MAP_20260525.md,selected work output,Yes,No,Selected artifact
OUT-20260525-005,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,Working dossier skeleton,report,THIEL_WORKING_DOSSIER_SKELETON_20260525.md,workbook/outputs/2026/05/25/thiel-local-scrape/reports/THIEL_WORKING_DOSSIER_SKELETON_20260525.md,selected work output,Yes,No,Selected artifact
OUT-20260525-006,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,Canonical decoder hits,table,canonical_decoder_hits.csv,workbook/outputs/2026/05/25/thiel-local-scrape/tables/canonical_decoder_hits.csv,selected work output,Yes,No,Selected artifact
OUT-20260525-007,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,Decoder key context matrix,table,decoder_key_context_matrix_selected.csv,workbook/outputs/2026/05/25/thiel-local-scrape/tables/decoder_key_context_matrix_selected.csv,selected work output,Yes,No,Selected artifact
OUT-20260525-008,2026-05-25,TOPIC-20260525-001,thiel-local-scrape,First quote set,table,THIEL_FIRST_QUOTE_SET_20260525.csv,workbook/outputs/2026/05/25/thiel-local-scrape/tables/THIEL_FIRST_QUOTE_SET_20260525.csv,selected work output,Yes,No,Selected artifact
